,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,song_name,artist,genre
631,0.0659,0.0102,4.0,-34.463,0.0,0.0461,0.866,0.941,0.0899,0.0376,69.004,4cfwFc5ptXuzQMT9fSdnOl,162133.0,4.0,Two Dialogues with Postscript: III. Morning Serenade - Edit,Valentin Silvestrov,classical
632,0.35,0.118,4.0,-21.192,0.0,0.0415,0.968,0.0607,0.118,0.255,124.135,4DsbdOinvRPoD2ax4DhxMU,337587.0,3.0,"Sonata For Piano And Violin In E Minor, K.304: 2. Tempo di minuetto",Wolfgang Amadeus Mozart,classical
633,0.346,0.108,2.0,-22.473,0.0,0.0395,0.993,0.922,0.0813,0.158,129.55,2kAdK72mjmKiAxfAMGgXBU,602176.0,3.0,"Rondo in A Minor, K. 511",Wolfgang Amadeus Mozart,classical
634,0.411,0.0155,5.0,-28.791,0.0,0.0406,0.995,0.88,0.0813,0.0379,97.841,0d71p8tQDxLgdTkEHcxQyl,198493.0,3.0,"Apr¨¨s un r¨ºve, Op. 7, No. 1 (Arr. Piano)",Gabriel Faur¨¦,classical
635,0.221,0.126,0.0,-25.367,1.0,0.0447,0.989,0.897,0.0769,0.216,133.564,4i8ly7ffzWu8nfKLI8SZFj,139307.0,4.0,"The Well-Tempered Clavier: Book 1, BWV 846-869: 1. Prelude in C Major, BWV 846",Johann Sebastian Bach,classical
636,0.284,0.0189,4.0,-26.936,1.0,0.0353,0.994,0.909,0.0769,0.0575,72.901,3z3nJD2LEW3yFMaEjjGerZ,237000.0,4.0,Deux Arabesques L. 66: No. 1 Andante con moto,Claude Debussy,classical
637,0.116,0.0011,2.0,-39.982,1.0,0.0544,0.988,0.227,0.0991,0.0387,70.332,2ZrF3UfwS50CKE8jQQVjWj,255960.0,3.0,Three Postludes (1981/82): Postlude No. 3,Valentin Silvestrov,classical
638,0.457,0.0252,3.0,-35.116,1.0,0.0621,0.996,0.875,0.0975,0.168,74.137,5zIJsFst05gsrUdr9ghEpG,138840.0,4.0,"Gottes Zeit ist die allerbeste Zeit, Sonatina az ""Actus tragicus""-b¨®l, BWV 106",Johann Sebastian Bach,classical
639,0.371,0.131,7.0,-23.899,0.0,0.0422,0.898,0.925,0.0847,0.0656,106.872,4PRnYCH5hoxypKVcOBvx3a,442693.0,4.0,"Danse Macabre, Op.40, R.171",Camille Saint-Sa?ns,classical
640,0.126,0.0159,4.0,-34.595,1.0,0.0401,0.976,0.949,0.0863,0.0373,74.02,4ju98rvX917EwXLKLnRbQ2,563000.0,4.0,"Piano Concerto in G Major, M. 83: II. Adagio assai",Maurice Ravel,classical
641,0.354,0.0125,4.0,-27.577,0.0,0.0443,0.995,0.959,0.0782,0.0691,98.211,6q5co1XdRmnMeWlL1RWXPK,220560.0,4.0,Gnossienne No.1 (Arr. Kleynjans),Erik Satie,classical
642,0.205,0.0821,3.0,-24.012,1.0,0.0482,0.958,0.933,0.0996,0.0593,68.853,29T3H5d9TgTlYcKiuNxdRT,201074.0,3.0,Stay,Chad Lawson,classical
643,0.583,0.0238,0.0,-32.244,0.0,0.0369,0.994,0.847,0.103,0.426,108.74,5RqKo9P4DLA0bVyY70cWkr,131923.0,4.0,saman,¨®lafur Arnalds,classical
644,0.296,0.00896,7.0,-31.948,0.0,0.0394,0.994,0.91,0.0815,0.0673,69.44,43bSKCMWHIuBsUVmQcDX1J,257000.0,3.0,"R¨ºverie, L. 68: R¨ºverie",Claude Debussy,classical
645,0.476,0.000707,11.0,-36.606,0.0,0.164,0.864,0.299,0.104,0.27,68.311,2Lio4KTzsA8BPLhXmyo4CQ,647973.0,4.0,F¨¹r Alina,Arvo P?rt,classical
646,0.357,0.0431,2.0,-25.461,1.0,0.0334,0.992,0.948,0.13,0.0698,131.976,4xqay5NL9jPHSCP2mo3U67,313973.0,4.0,Le Jardin de Monsieur Monet,Stephan Moccio,classical
647,0.235,0.0561,2.0,-23.311,1.0,0.0442,0.95,0.29,0.119,0.0518,107.619,6aANvQTjMgtOlCAaHlYcyn,271560.0,4.0,"Schwanengesang, D. 957: 4. St?ndchen In D Minor (Arr. For Violin And Piano)",Franz Schubert,classical
648,0.155,0.0522,1.0,-25.087,1.0,0.0413,0.993,0.894,0.105,0.0585,70.473,0Y9BzZGT2FuLVPrHoq1g2G,336093.0,3.0,"Fantaisie-Impromptu In C Sharp Minor, Op. 66",Fr¨¦d¨¦ric Chopin,classical
649,0.205,0.0525,1.0,-23.841,1.0,0.0327,0.98,0.906,0.103,0.0511,88.316,419qlOGNXoyICx4jO0hqaj,174653.0,4.0,"Rhapsody On A Theme Of Paganini, Op.43: Variation 18. Andante cantabile",Sergei Rachmaninoff,classical
650,0.32,0.00501,1.0,-33.366,1.0,0.0455,0.993,0.919,0.0618,0.0383,68.947,3hCPh4oVVjaM8tv9sFH8cx,294960.0,5.0,"Suite bergamasque, L. 75: 3. Clair de lune",Claude Debussy,classical
651,0.215,0.117,0.0,-20.297,1.0,0.0419,0.987,0.93,0.122,0.0627,85.938,2xU2c2aqQDSHgNGHcQnOj4,132800.0,4.0,Pride & Prejudice Suite: Dawn,Dario Marianelli,classical
652,0.384,0.125,10.0,-22.4,1.0,0.0315,0.987,0.929,0.112,0.369,80.185,0vzSIBAqnN1HzvWrPbh6VF,120741.0,1.0,Ala,Joep Beving,classical
653,0.487,0.00409,11.0,-38.66,1.0,0.0612,0.985,0.894,0.0965,0.16,115.369,3iWo5Y9DpJNdFI3lERYgEy,242811.0,4.0,"Ave verum corpus, K. 618 (Transcr. Liszt for Solo Piano)",Wolfgang Amadeus Mozart,classical
654,0.522,0.0308,5.0,-26.86,1.0,0.0641,0.995,0.915,0.0805,0.313,72.551,0ftAOThcYwpSDapJhDOy7o,284000.0,4.0,"Piano Sonata No. 12 in F Major, K. 332: II. Adagio",Wolfgang Amadeus Mozart,classical
655,0.392,0.501,2.0,-12.513,1.0,0.146,0.682,0.909,0.442,0.113,152.481,6Olyr6tQ7DKWPJro6nn35C,246760.0,3.0,Short Ride in a Fast Machine,John Adams,classical
656,0.393,0.0429,9.0,-25.727,0.0,0.0341,0.992,0.925,0.0821,0.0394,135.405,5BRfucuiAf5IYRbwBYBYPZ,288280.0,4.0,Ab Ovo,Joep Beving,classical
657,0.206,0.0645,4.0,-25.162,1.0,0.0396,0.985,0.894,0.138,0.0398,79.757,3hgRiVuiBWVbpd4kBQD68m,205560.0,4.0,"Nacht und Tr?ume, Op. 43 No. 2, D. 827",Franz Schubert,classical
658,0.0891,0.0894,2.0,-25.653,1.0,0.042,0.936,0.748,0.416,0.0728,80.828,6t7lMFHSifu9j8NPMNCv9T,284000.0,4.0,"Orchestral Suite No. 3 in D Major, BWV 1068: II. Air",Johann Sebastian Bach,classical
659,0.488,0.606,7.0,-12.734,1.0,0.0519,0.424,0.0606,0.421,0.971,86.849,3lLKvUcryMjlY35OizFKJb,60600.0,4.0,"The Nutcracker, Op.71, TH.14 / Act 2: No. 12d Tr¨¦pak (Russian Dance)",Pyotr Ilyich Tchaikovsky,classical
660,0.264,0.11,2.0,-19.692,1.0,0.0358,0.923,0.898,0.37,0.191,92.54,5xlRxcBGa6RqPRBzKP8fwv,310000.0,4.0,Canon and Gigue in D major - arr. Max Seiffert: 1. Canon,Johann Pachelbel,classical
661,0.165,0.0239,0.0,-26.612,0.0,0.045,0.995,0.922,0.0966,0.0953,66.737,16xQMSrDSEWP5Lp8GrHGcu,418227.0,4.0,Vague / E la nave va,Anja Lechner,classical
662,0.193,0.0656,10.0,-19.239,1.0,0.0471,0.995,0.829,0.119,0.0359,128.975,46tPGzCXCI2oKsemztDA9u,402493.0,3.0,Parce Mihi Domine,Jan Garbarek,classical
663,0.114,0.0701,4.0,-23.417,0.0,0.0445,0.87,0.431,0.0916,0.0371,89.33,7pgJTa3eZM4kkT2vsZUmFt,331933.0,1.0,Meditation: M¨¦ditation from Tha?s,Jules Massenet,classical
664,0.147,0.165,3.0,-19.898,1.0,0.037,0.861,0.478,0.129,0.159,143.528,1k82bzEjGy47GX0EbVPseH,356867.0,3.0,"Wachet auf, ruft uns die Stimme, Cantata BWV 140: 4. ""Zion h?rt die W?chter singen""",Johann Sebastian Bach,classical
665,0.0891,0.341,10.0,-12.681,0.0,0.046,0.145,0.836,0.111,0.0334,85.231,5DFUsGW4Cmltv8Spd0u1aV,371747.0,3.0,On The Nature Of Daylight,Max Richter,classical
666,0.225,0.0047,1.0,-30.928,0.0,0.0509,0.992,0.881,0.0722,0.186,163.665,2MSgFefjK0T7Iwjvr3OKqV,259493.0,4.0,"Chopin: Nocturne No. 20 in C-Sharp Minor, Op. Posth.",Fr¨¦d¨¦ric Chopin,classical
667,0.102,0.0733,10.0,-24.133,0.0,0.0488,0.974,0.859,0.28,0.0308,73.954,1CSaCKPIp2yCIDL3t7Fyau,537427.0,3.0,"Barber: Adagio for Strings, Op. 11",Samuel Barber,classical
668,0.266,0.00361,8.0,-29.735,1.0,0.052,0.995,0.925,0.0723,0.0631,94.861,6LmLH4PpmQLhXSefqIPNHA,160453.0,4.0,"Glass: Truman Sleeps (""The Truman Show"")",Valentina Lisitsa,classical
669,0.139,0.11,0.0,-16.155,0.0,0.0362,0.453,0.902,0.107,0.0377,174.865,47xdo9qYjAbOIVVBAqom1b,300213.0,3.0,Adagio in G Minor (Arr. for Harp and Orchestra),Tomaso Albinoni,classical
670,0.0752,0.0604,7.0,-23.96,0.0,0.0485,0.957,0.902,0.0889,0.034,76.509,06O078Zw6xX8iMh4lpWn01,228181.0,3.0,"Dido and Aeneas, Z. 626 / Act 3: ""When I Am Laid In Earth"" Dido's Lamento (Arr. For Cello And Strings By Mathieu Herzog)",Henry Purcell,classical
671,0.313,0.0318,5.0,-26.909,1.0,0.0338,0.989,0.0797,0.0835,0.112,84.686,0Oqu3THqxi4dL1LfowsFog,544653.0,3.0,P?rt: Spiegel im Spiegel,Arvo P?rt,classical
